url,version,category,resolveddate,spl,description
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-02-22,"DBX-3851, DBX-3819",Query ending a with semi-colon character will fail in Oracle
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-02-19,DBX-3706,Create an input using an existing name does not return a clear error message
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-02-19,DBX-3345,A cloned lookup with a different connection cannot be saved
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-02-07,DBX-3732,Inputs with similar names (e.g. different case) cause checkpoint file conflict
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-01-25,DBX-3796,Wrong error message when java server returns 500 HTTP code
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-01-22,DBX-3737,Column with same name will be overwritten in dbxquery if shortnames is set to false
https://docs.splunk.com/Documentation/DBX/3.1.0/ReleaseNotes/Releasenotes,3.1.0,dbx,2017-01-18,DBX-3555,Filter set on table listing objects are lost during navigation
https://docs.splunk.com/Documentation/DBX/3.1.1/ReleaseNotes/Releasenotes,3.1.1,dbx,2017-08-22,"DBX-4389, DBX-4386",Unindexable fields increase the license usage.
https://docs.splunk.com/Documentation/DBX/3.1.1/ReleaseNotes/Releasenotes,3.1.1,dbx,2017-08-13,DBX-4407,"Inputs using a rising column with types: datetime, timestamp, date, time cannot be bulk edited after the preview is run"
https://docs.splunk.com/Documentation/DBX/3.1.1/ReleaseNotes/Releasenotes,3.1.1,dbx,2017-08-07,DBX-4385,Time zone defined on a connection is applied to all time related fields
https://docs.splunk.com/Documentation/DBX/3.1.1/ReleaseNotes/Releasenotes,3.1.1,dbx,2017-08-07,"DBX-4373, DBX-4372",Lookup with multiple keys does not return results
https://docs.splunk.com/Documentation/DBX/3.1.1/ReleaseNotes/Releasenotes,3.1.1,dbx,2017-08-06,"DBX-4391, DBX-4378",Index cannot be set without selecting an existing one
https://docs.splunk.com/Documentation/DBX/3.1.1/ReleaseNotes/Releasenotes,3.1.1,dbx,2017-07-20,DBX-4381,Audit log file for commands does not rotate
https://docs.splunk.com/Documentation/DBX/3.1.2/ReleaseNotes/Releasenotes,3.1.2,dbx,2017-12-15,DBX-4472,rh_healthlog and rh_usage_data are invalid entries in restmap.conf
https://docs.splunk.com/Documentation/DBX/3.1.2/ReleaseNotes/Releasenotes,3.1.2,dbx,2017-12-13,DBX-4491,Upgrade third party libraries for CVE-2017-9735 and CVE-2017-7525.
https://docs.splunk.com/Documentation/DBX/3.1.2/ReleaseNotes/Releasenotes,3.1.2,dbx,2017-12-13,DBX-4482,Task server listens on all IP addresses
https://docs.splunk.com/Documentation/DBX/3.1.2/ReleaseNotes/Releasenotes,3.1.2,dbx,2017-12-09,"DBX-4451, DBX-4434",Pooled connections are not closed when a connection is disabled or deleted
https://docs.splunk.com/Documentation/DBX/3.1.2/ReleaseNotes/Releasenotes,3.1.2,dbx,2017-12-04,"DBX-4400, DBX-4399",Task server cannot start on SHC if captain is static
https://docs.splunk.com/Documentation/DBX/3.1.2/ReleaseNotes/Releasenotes,3.1.2,dbx,2017-11-29,DBX-4476,Updating DB credentials are not propagated to inputs and outputs
https://docs.splunk.com/Documentation/DBX/3.1.3/ReleaseNotes/Releasenotes,3.1.3,dbx,2018-03-01,DBX-4454,Invalid rising column index value when non-indexable columns are skipped
https://docs.splunk.com/Documentation/DBX/3.1.3/ReleaseNotes/Releasenotes,3.1.3,dbx,2018-02-15,DBX-4527,dbxquery cannot start on Splunk Enterprise 7+ if users set a time zone in their preferences
https://docs.splunk.com/Documentation/DBX/3.1.4/ReleaseNotes/Releasenotes,3.1.4,dbx,2018-11-29,DBX-4589,java.io.IOException: Push back buffer is full
https://docs.splunk.com/Documentation/DBX/3.1.4/ReleaseNotes/Releasenotes,3.1.4,dbx,2018-11-22,DBX-4707,Update dropwizard dependency to fix CVE
https://docs.splunk.com/Documentation/DBX/3.1.4/ReleaseNotes/Releasenotes,3.1.4,dbx,2018-11-22,DBX-4623,Compatibility issue with splunk_app_db_connect	3.1.3 and TA-Proofpoint-TAP	1.3.117 keeps DBX from loading.
https://docs.splunk.com/Documentation/DBX/3.1.4/ReleaseNotes/Releasenotes,3.1.4,dbx,2018-11-08,DBX-4603,"On Windows systems, hitting debug/refresh endpoint with DB Connect installed makes splunkweb not restart"
https://docs.splunk.com/Documentation/DBX/3.1.4/ReleaseNotes/Releasenotes,3.1.4,dbx,2018-11-08,DBX-4588,All source types from props.conf does not show on DBX 3.1.1
https://docs.splunk.com/Documentation/DBX/3.1.4/ReleaseNotes/Releasenotes,3.1.4,dbx,2018-11-07,DBX-4638,Empty host on the connection and the input will fail the input
https://docs.splunk.com/Documentation/DBX/3.1.4/ReleaseNotes/Releasenotes,3.1.4,dbx,2018-10-11,DBX-4637,HEC error message is not logged
https://docs.splunk.com/Documentation/DBX/3.1.4/ReleaseNotes/Releasenotes,3.1.4,dbx,2018-04-05,DBX-4387,"Splunk cannot be restarted via web interface, deployer or deployment server on Windows"
https://docs.splunk.com/Documentation/DBX/3.2.0/ReleaseNotes/Releasenotes,3.2.0,dbx,2019-08-02,DBX-4585,"Output does not work if column's name contains special characters i.e. dot, space"
https://docs.splunk.com/Documentation/DBX/3.3.0/ReleaseNotes/Releasenotes,3.3.0,dbx,2020-01-17,DBX-3778,The app.conf and dbx_settings.conf are not replicated under cluster environment
https://docs.splunk.com/Documentation/DBX/3.3.0/ReleaseNotes/Releasenotes,3.3.0,dbx,2020-01-03,DBX-4436,dbxquery fails with an OutOfMemoryError when returning large data set i.e. GB of data
https://docs.splunk.com/Documentation/DBX/3.3.0/ReleaseNotes/Releasenotes,3.3.0,dbx,2019-11-06,DBX-4799,DB Connect 3.1.4 Not working with Solaris Adaptive Server Enterprise/16.0 SP02 PL07
https://docs.splunk.com/Documentation/DBX/3.3.0/ReleaseNotes/Releasenotes,3.3.0,dbx,2019-10-08,DBX-4616,"Need to add extra backlash (escape) in GUI to be able to get literal backslash in query, but this breaks the query in the configuration file, preventing it from running after saving"
https://docs.splunk.com/Documentation/DBX/3.3.1/ReleaseNotes/Releasenotes,3.3.1,dbx,2020-04-22,DBX-4998,dbxlookup fails after upgrade to 3.3.0
https://docs.splunk.com/Documentation/DBX/3.4.0/ReleaseNotes/Releasenotes,3.4.0,dbx,2020-08-07,DBX-5029,"data of Decimal(15,2) output to Mysql, data 2 decimal was modified as (.00), it brings up the data inconsistent issues"
https://docs.splunk.com/Documentation/DBX/3.4.0/ReleaseNotes/Releasenotes,3.4.0,dbx,2020-07-22,DBX-5078,DBXQuery hangs when running 'Execute SQL' Preview
https://docs.splunk.com/Documentation/DBX/3.4.0/ReleaseNotes/Releasenotes,3.4.0,dbx,2020-07-08,DBX-5087,DBX output failing periodically when result set is greater than 100
https://docs.splunk.com/Documentation/DBX/3.4.0/ReleaseNotes/Releasenotes,3.4.0,dbx,2020-06-24,DBX-5099,Error handling a request: java.lang.NullPointerException: null
